city,arrondissement,price,area,rooms,bathrooms,url
casablanca,Nassim 1,1180000.0,85.0,2.0,2.0,https://www.mubawab.ma/fr/a/7932077/appartement-nassim-residence-les-champs-85m2
casablanca,Palmier,1500000.0,111.0,3.0,1.0,https://www.mubawab.ma/fr/a/7931885/appartement-%C3%A0-palmier
casablanca,Les princesses,2000000.0,117.0,3.0,3.0,https://www.mubawab.ma/fr/a/7931592/vente-d-un-bel-appartement-117m2-les-princesses
casablanca,Sidi Moumen,400000.0,57.0,2.0,1.0,https://www.mubawab.ma/fr/a/7931234/appartement-%C3%A0-l-achat-%C3%A0-sidi-moumen-2-grandes-pi%C3%A8ces-four-encastr%C3%A9-
casablanca,Palmier,3642000.0,236.0,3.0,2.0,https://www.mubawab.ma/fr/a/7930299/palmier-appartement-familiale-proche-wilaya
casablanca,Al Madina Aljadida,560000.0,61.0,2.0,1.0,https://www.mubawab.ma/fr/a/7918909/appartement-%C3%A0-vendre-61-m%C2%B2-%C3%A0-casablanca
casablanca,Les Hôpitaux,1650000.0,154.0,3.0,2.0,https://www.mubawab.ma/fr/a/7909840/particulier-vend-appartement-%C3%A0-les-h%C3%B4pitaux-surface-de-154-m%C2%B2-prestation-de-conciergerie-air-conditionn%C3%A9
casablanca,Triangle d'Or,2700000.0,138.0,3.0,2.0,https://www.mubawab.ma/fr/a/7899973/grand-appartement-haut-standing-triangle-d-or
casablanca,Maârif Extension,1093500.0,81.0,2.0,1.0,https://www.mubawab.ma/fr/a/7890125/appartement-%C3%A0-vendre-%C3%A0-ma%C3%A2rif-extension
casablanca,Anfa,3740000.0,124.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7727084/vente-d-un-bel-appartement-2-chambres-%C3%A0-anfa
casablanca,Hay Mohammadi,1020600.0,94.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7885114/appartement-%C3%A0-vendre-%C3%A0-hay-mohammadi-3-chambres
casablanca,Ahl Loghlam (Hay Assalam),250000.0,67.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7596075/bel-appartement-%C3%A0-vendre-%C3%A0-ahl-loghlam-hay-assalam-surface-totale-67-m%C2%B2
casablanca,Riviera,1027000.0,47.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7503673/studio-de-42m%C2%B2-en-vente-blue-skies
casablanca,Lissasfa,190000.0,54.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7890175/vente-d-un-bel-appartement-%C3%A0-lissasfa-2-chambres
casablanca,Ahl Loghlam (Hay Assalam),250000.0,67.0,3.0,2.0,https://www.mubawab.ma/fr/pa/6796355/appartement-de-67m%C2%B2-en-vente-ahl-loghlam-social-tit-mellil
casablanca,,,,,,https://immoexpo.avito.ma/ar/reservez-ticket/?utm_campaign=IMMO_EXPO_2024&utm_source=Mubawab&utm_medium=Display&utm_content=FR_native_ad&utm_term=none
casablanca,Anfa,4080000.0,160.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7882026/appartement-%C3%A0-l-achat-%C3%A0-anfa-superficie-160-m%C2%B2
casablanca,Belvédère,1520000.0,119.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7713801/appartement-de-119m2-en-vente-avec-place-de-parking
casablanca,,,,,,https://www.mubawab.ma/fr/p/2095/rio-beach-appartements
casablanca,Californie,1808340.0,113.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877406/appartement-%C3%A0-vendre-103-m%C2%B2-3-chambres-californie-casablanca
casablanca,Californie,1696000.0,106.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877403/appartement-106-m%C2%B2-3-chambres-californie-casablanca
casablanca,Californie,1798500.0,109.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877402/appartement-109-m%C2%B2-3-chambres-californie-casablanca
casablanca,Californie,1958000.0,118.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877399/appartement-%C3%A0-vendre-118-m%C2%B2-3-chambres-californie-casablanca
casablanca,Californie,1726000.0,104.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877397/appartement-%C3%A0-vendre-104-m%C2%B2-3-chambres-californie-casablanca
casablanca,Californie,1695500.0,113.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877394/superbe-appartement-%C3%A0-vendre-%C3%A0-californie-3-chambres
casablanca,Californie,1785000.0,113.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7877393/appartement-113-m%C2%B2-3-chambres-californie-casablanca
casablanca,Maârif Extension,1713000.0,84.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7157729/appartement-2-chambres-maarif-extension-casablanca
casablanca,Maârif Extension,1544000.0,78.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7157727/appartement-2-chambres-maarif-extension-casablanca
casablanca,Californie,1316400.0,74.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7885313/vente-d-un-bel-appartement-%C3%A0-californie-2-chambres-agr%C3%A9ables
casablanca,Californie,1786720.0,99.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7885312/appartement-%C3%A0-vendre-%C3%A0-californie-2-chambres
casablanca,Hay Hassani,919800.0,72.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7876012/appartement-%C3%A0-vendre-2-chambres-%C3%A0-hay-hassani-casablanca
casablanca,Hay Hassani,919800.0,72.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7876011/appartement-%C3%A0-l-achat-%C3%A0-hay-hassani-2-chambres-agr%C3%A9ables
casablanca,Hay Hassani,1174950.0,97.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7876010/appartement-%C3%A0-vendre-72-m%C2%B2-2-chambres-hay-hassani-casablanca
casablanca,Hay Hassani,1174950.0,97.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7876009/appartement-2-chambres-%C3%A0-vendre-72-m%C2%B2-hay-hassani-casablanca
casablanca,Beauséjour,1250000.0,83.0,2.0,2.0,https://www.mubawab.ma/fr/a/7880850/apparemment-beausejour-a-vendre
casablanca,Oasis,1230000.0,73.0,1.0,1.0,https://www.mubawab.ma/fr/a/7878777/studio-haut-standing-oasis
casablanca,Californie,2178000.0,121.0,3.0,3.0,https://www.mubawab.ma/fr/a/7862907/d%C3%A9couvrer-votre-nouveau-havre-de-paix-%C3%A0-casablanca
casablanca,Les Hôpitaux,1460000.0,95.0,2.0,2.0,https://www.mubawab.ma/fr/a/7859225/station-wafasalaf-appt-tr%C3%A8s-ensoleill%C3%A9-sans-vis-%C3%A0-vis-au-coeur-du-quartier-bancaire
casablanca,Casablanca Finance City,1500000.0,64.0,1.0,1.0,https://www.mubawab.ma/fr/a/7839416/appartement-superbe-%C3%A0-casa-finance-city
casablanca,Ain Chock,930000.0,64.0,2.0,1.0,https://www.mubawab.ma/fr/a/7821563/un-joli-appartement-%C3%A0-vendre
casablanca,Nassim 1,1350000.0,119.0,3.0,2.0,https://www.mubawab.ma/fr/a/7787343/appart-de-119-m%C2%B2-dans-une-r%C3%A9sidence-ferm%C3%A9e-s%C3%A9curis%C3%A9e
marrakech,Guéliz,3530000.0,196.0,3.0,2.0,https://www.mubawab.ma/fr/pa/7915668/vente-d-un-bel-duplex-%C3%A0-gu%C3%A9liz-3-chambres
marrakech,Guéliz,2316000.0,103.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7915635/appartement-%C3%A0-l-achat-%C3%A0-gu%C3%A9liz-2-chambres
marrakech,Agdal,1740000.0,87.0,2.0,2.0,https://www.mubawab.ma/fr/pa/7783191/vend-appartement-%C3%A0-agdal-2-chambres-agr%C3%A9ables
marrakech,Guéliz,1650000.0,64.0,1.0,1.0,https://www.mubawab.ma/fr/pa/7915640/appartement-%C3%A0-l-achat-%C3%A0-gu%C3%A9liz-superficie-64-m%C2%B2
marrakech,Mhamid,252000.0,63.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874049/vend-appartement-%C3%A0-mhamid-2-chambres
marrakech,Mhamid,276000.0,69.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874048/superbe-appartement-%C3%A0-vendre-%C3%A0-mhamid-2-chambres
marrakech,,,,,,https://immoexpo.avito.ma/ar/reservez-ticket/?utm_campaign=IMMO_EXPO_2024&utm_source=Mubawab&utm_medium=Display&utm_content=FR_native_ad&utm_term=none
marrakech,Mhamid,260000.0,65.0,2.0,1.0,https://www.mubawab.ma/fr/pa/7874047/superbe-appartement-%C3%A0-vendre-%C3%A0-mhamid-surface-de-65-m%C2%B2
